gene_name         0h    12h    24h    48h    96h 
anise              5.4    5.2    4.8    3.1    0.6 
apricot           13.4   14.6   12.4    8.6    1.9 
artichoke          4.2    1.5    0.5    0.0    0.0 
arugula           66.9   23.9    7.0    0.5    0.0 
asparagus         55.6   78.1  100.9  135.8  115.0 
avocado           27.0   14.3    6.2    1.1    0.0 
banana           101.3  132.2  126.7  130.7   68.7 
basil              3.1    1.1    0.4    0.0    0.0 
beet               3.8    1.1    0.3    0.0    0.0 
blackberry        23.9   15.6    9.1    2.5    0.1 
blueberry          7.3    4.5    2.0    0.4    0.0 
broccoli          16.4   14.1   11.1    5.4    0.7 
butternut         24.5   27.9   23.5   16.7    4.5 
cabbage           28.4   34.2   40.4   40.0   29.6 
cantaloupe        21.1   12.7    8.2    2.2    0.1 
caraway           19.8   15.1   10.8    3.9    0.3 
carrot            44.0   36.3   26.9   13.8    1.6 
cauliflower       30.8   14.2    5.4    0.7    0.0 
cayenne           54.2   46.4   37.1   21.0    3.7 
celery            42.5   47.0   41.7   40.3   13.7 
chard             35.2   39.3   43.9   40.5   21.7 
cherry            17.6   19.8   19.3   14.9    5.2 
chestnut          28.5   35.1   36.4   26.4    8.2 
chickpea           4.2    2.3    1.2    0.3    0.0 
cilantro          24.8   11.3    5.2    1.0    0.0 
clementine       136.4  140.6  132.5   83.2   25.4 
coconut           43.2   45.9   48.3   37.6   16.8 
coriander         22.2   17.4   11.6    4.1    0.2 
cranberry         73.7   82.3   83.7   65.3   26.4 
cucumber           8.5    5.8    3.8    1.3    0.1 
currant           30.2   27.8   24.2   16.3    3.7 
eggplant          38.4   33.3   27.9   13.8    2.5 
elderberry        34.8   37.2   27.6   16.7    3.0 
endive            62.2   89.1  101.3  141.1  131.9 
fennel            75.8   72.1   53.7   26.8    4.4 
fig               14.6    9.6    4.5    0.9    0.0 
garlic             2.4    0.8    0.2    0.0    0.0 
ginger           136.9  135.0  108.2   69.4   14.6 
gooseberry        16.4   12.9    9.9    4.3    0.5 
grape             31.1   19.8   11.0    3.1    0.1 
grapefruit        19.0   22.4   26.7   27.2   16.1 
guava            234.1  366.4  555.8  940.1 1814.4 
honeydew          19.8   15.6   10.9    4.2    0.4 
horseradish      109.3  126.0  114.4   85.1   24.3 
huckleberry        6.1    5.3    3.9    1.7    0.2 
juniper           68.7   48.9   28.2    8.4    0.4 
kiwi             407.6  684.9 1078.5 1691.0 2747.2 
kohlrabi          44.2   46.6   44.9   35.6   12.4 
lavender          74.2   83.5  107.2  105.3   80.7 
leek              22.5   34.2   47.8   76.2  103.5 
lentil            57.9   29.8   16.2    3.0    0.1 
lettuce           10.1    1.8    0.3    0.0    0.0 
lime              17.2    9.1    4.3    0.8    0.0 
maize             84.6   61.0   36.6    8.3    0.4 
mango             33.8    8.4    1.8    0.1    0.0 
melon            260.2  347.8  510.5  764.0  839.4 
mulberry          28.7   23.5   18.0    6.8    0.6 
mushroom          10.5    6.0    2.7    0.5    0.0 
mustard           89.4   27.3    7.8    0.5    0.0 
nectarine         29.7   22.5   15.3    7.7    0.7 
okra             265.4  195.0  130.6   41.0    2.7 
olive             69.1   61.2   40.3   18.8    2.1 
onion             41.6   24.7   11.9    2.1    0.0 
orange             7.8   11.0   13.0   14.4   11.8 
oregano           27.9   24.2   22.9   12.9    2.9 
papaya            25.6   16.8   10.6    3.1    0.2 
parsley           29.4    9.6    2.2    0.1    0.0 
parsnip           59.6   98.3  124.3  178.9  212.2 
pea              154.4  106.1   63.9   20.4    1.0 
peach             43.3   37.4   31.2   17.8    3.0 
pear              33.1   20.3   10.7    3.3    0.2 
pepper            13.7   13.0    8.9    4.1    0.5 
persimmon          7.3    3.3    1.0    0.1    0.0 
pineapple         30.1   42.4   42.5   48.0   26.6 
plantain          36.8   31.2   21.0    8.6    0.9 
plum              20.9   18.5   15.1    6.4    0.8 
pomegranate        3.5    1.7    0.6    0.1    0.0 
potato            21.7   20.9   19.4   10.3    1.7 
pumpkin           32.8   21.5   12.6    3.1    0.1 
quince            59.1   19.4    5.7    0.4    0.0 
radish           271.7  409.3  727.3 1221.4 1975.5 
raisin            45.6   24.1   13.0    2.7    0.1 
raspberry         10.3   12.4   13.0    9.7    4.2 
rhubarb           12.9   15.4   18.9   16.1    8.8 
rosemary          39.6   61.1   71.8  106.3  117.4 
rutabaga          42.3   38.1   29.7   16.1    3.2 
sage              41.2   39.4   33.9   20.3    4.3 
scallion           9.5    8.0    6.5    2.7    0.3 
spinach           27.8   23.3   14.3    6.1    0.6 
strawberry         6.7    3.0    1.1    0.1    0.0 
tamarind          42.0   37.6   32.3   18.5    3.9 
tangerine         23.4   21.9   13.5    5.6    0.5 
thyme            177.7  214.1  287.6  300.7  179.6 
tomato             5.7    1.3    0.3    0.0    0.0 
turnip            45.8   29.4   14.3    3.6    0.1 
wasabi            46.5   50.6   57.5   43.0   16.7 
watercress       174.2  242.5  306.5  347.4  332.4 
watermelon       189.1  261.6  320.2  298.1  244.1 
yam               42.3   28.4   14.9    3.2    0.1 
zucchini          26.2   15.5    6.6    1.2    0.0 
OR4F5             36.4   24.8   16.5    6.4    0.5 
FO538757.2        16.6   16.2   14.5   10.7    3.2 
FO538757.1        40.0   53.4   73.0   94.6  107.0 
OR4F29            45.5   35.6   24.8   10.7    1.4 
OR4F16            93.3  111.3  110.1   90.2   34.9 
SAMD11            21.3   25.9   24.8   20.5    8.6 
NOC2L             12.4    2.1    0.4    0.0    0.0 
