gene_name     synth_rate halflife
CYB5R3               3.2     19.9
MMAA                 1.1      9.5
SLC24A1              0.8     14.8
OR10D3              12.6     14.0
IFITM5               2.5     20.3
CDC5L                0.7      8.3
DPYSL2               1.4     26.5
ERCC6                1.0     11.3
SYCE2                1.7     23.0
CHST7                2.1      5.5
PFDN2                6.6     17.2
PHKB                 0.3     17.5
KLF12                2.5     15.0
HIST2H2BF            2.0      9.3
ISM2                 0.5     11.4
ZNF621               3.9      6.5
ATG12                2.2      9.4
HDHD3                0.5      7.4
GALNT11              6.6     23.5
ASH1L                3.0      6.9
ILF3                 1.9     16.9
RICTOR               2.1     10.3
PIK3CD              15.2     10.8
IGBP1                1.5     20.0
FOXO1                1.3      7.2
ACSM5                6.7     27.5
EPHA3                0.3     11.3
KIAA1211L            4.9      7.1
TNFRSF10A            1.1      6.7
PLVAP                4.5     11.2
FOXL1                2.8     11.2
PPM1D                1.6      6.5
PASK                 4.0      8.8
BMP2                14.8     19.7
ISLR2                2.6      9.0
PHF20L1             16.8     16.2
ZNF525               0.9     14.2
RFX5                 2.2      6.6
CELF4                0.9     15.8
THBS3                3.7      9.9
CHI3L1               1.0     11.0
TRAF3IP3             0.5     15.9
UQCR11               1.0     21.4
AFF3                 6.3     13.1
GTF2E2               6.9      8.0
APCDD1L             51.7     27.2
NCDN                 2.2      8.4
GS1-114I9.3          1.2     11.2
ECHS1                5.0     10.1
SOX15                0.4      7.5
RPS6KA2              5.4     14.7
OR10T2               2.0     16.9
ARHGAP35             0.8     15.5
TIMM8B               1.2     21.7
MT1H                23.5      5.6
GLT6D1               6.3      6.1
ZNF707              12.2     13.2
CGB3                 0.5      9.7
STEAP2               1.5     12.9
PILRA                4.0      8.7
HIST1H2AK            1.3     10.5
peach                3.1     12.9
IRGM                 2.0     10.7
COX4I1               0.4     12.8
VDAC3                1.2     24.4
HIGD1B               6.1     11.2
GRK6                 1.3     14.8
PIRT                 1.1      9.4
HGS                  2.7     17.6
CD200R1L             2.3      7.5
ZNF579               3.5      9.0
KRT20                2.7     12.8
EPHB6                0.6     20.3
WDR27                0.3     11.8
SERF1A               3.1     20.4
NPAS3                2.3     20.0
arugula             10.1      6.3
LDHD                 0.6     15.2
AHNAK                2.6     17.9
SIGLEC15             2.4     12.3
GBP4                 1.0     14.0
USP17L26             3.6     22.3
ATP6V1E2             0.7      6.6
GLB1L                1.5     39.4
ATP2A1               2.0     10.7
P3H4                 5.5     27.7
TEX37                1.9     20.2
MED16                1.9      9.2
ZNF385D              5.4     18.6
POU2F3               0.6     11.9
CA2                  2.5     25.6
MAK                  1.0      8.7
BCAR3                8.0     21.6
SERP2               11.1      8.8
GFAP                 8.2      8.3
ITLN1                1.4     41.6
FGF9                 1.5     11.3
MTHFD1L              2.3     15.8
PIN4                 3.3     15.8
ENY2                 0.4      9.6
TFAP2D               0.6     11.6
CCR8                 0.5      9.3
VN1R2                4.0      9.8
FAM83B               2.1     12.7
CSRNP2               0.5     16.1
AMBP                 0.7     12.0
RS1                  4.1     16.6
FCGR2B               0.7      9.6
PCOLCE               2.1     16.3
VARS2                5.2     13.0
PYGM                 1.3      4.5
P4HA1                2.6      8.2
ARMCX5               3.1      7.5
CA8                  3.1      6.1
HOXB7                0.4      9.8
TNFRSF11B            4.4     17.6
PARP12               3.1     13.1
IFRD2                4.6     20.4
GUCY1A3              0.9     26.4
KLHDC4               2.0     23.2
ANKRD55              3.0     31.2
STARD4              33.5     18.9
plum                 1.9     11.8
CENPC                5.3      9.4
ELP3                22.1      7.2
APOBEC3G             2.9     16.6
CLDN8                0.1     17.0
ZC3H12D              1.6     10.0
BRWD1                0.4     13.3
FKBP5                5.5     17.8
GNA11                1.3     10.1
CDC34                2.6     12.2
PRAMEF2              8.2      5.9
PER1                16.2     17.7
GFPT1                1.1      7.3
IL16                 1.2     17.8
GANAB                3.4     13.5
HPDL                 0.5      9.7
IER3                 2.0     16.3
SLC7A9               2.9     28.4
EML1                 0.7      5.7
SCARA3               3.2     25.4
GARS                 6.2     20.9
PRR20E               3.0      8.6
KBTBD2               0.4     17.5
SLC2A14             11.9      9.2
GPA33                0.8     14.0
FXYD6                3.2     24.5
SUGP2                5.2      3.7
FCGR1A               2.8     15.4
AREL1                0.2      8.1
FGF4                 1.8      9.5
RP11-26J3.4          4.0      6.4
MT-ATP8              7.8      7.9
AMZ2                 7.3     13.7
FAM234A             10.1     10.4
CTD-2192J16.17       1.8     11.4
RAB3A                0.5     13.6
TIAL1                1.6     20.6
FAM231D              3.7      9.0
MACF1                7.0      9.8
KRTAP2-1             1.5     10.5
KRTAP3-3             1.0     32.7
DAOA                 6.1     14.4
SH3BGRL              1.6     26.6
GTDC1                0.7      6.2
PAQR4                1.6      9.9
SULT1A2              1.0      9.2
TMEM214              5.4      8.1
HS3ST1              16.6     16.1
NREP                 3.0      7.2
PRPF18               4.1      7.1
BTBD10               3.9      9.5
SP8                  2.3      7.8
RASA3                2.8     11.5
LBHD1                5.3      7.3
FBXL7                9.2      9.2
ATP12A               0.3     22.1
NKX2-8               1.4     18.5
USP16                6.5      8.8
AP1S2                3.7     16.1
BLVRA                2.7     14.4
SHQ1                 0.9     13.5
ANKRD12              0.6     14.6
ARHGEF37             2.2      9.6
PRUNE1               1.8     12.8
ALMS1                3.0      5.6
NPL                 12.2     10.7
ZNF845               1.6     12.2
HCST                 1.2     11.3
HPS6                 2.3     12.4
CCDC121              5.0     31.5
OR1L8                6.6     15.8
ADCK1                2.1     14.6
TERF2IP              1.4     12.8
PREB                 2.1     10.7
INO80B-WBP1          2.0     13.8
SLC16A3              0.5      6.3
FAM71A               5.7     12.9
ZAR1                 2.9     12.5
ZNF578               1.6      7.8
SEL1L                2.8     11.9
SRRM1                2.4     14.7
PCDHGB4              6.2      6.3
FAM181B              3.5     16.9
MPHOSPH9            10.3     13.2
FAM188A              9.0      7.8
IL11RA               0.2      9.3
NDUFB6               6.1      8.6
AC136616.3          14.2      8.2
SLC37A2              2.9      9.9
ZSCAN18              1.1      9.0
RP11-701H24.9       10.4     23.4
MED21                3.5      7.4
OR6C1                1.9     14.8
AKR1B10              0.3      7.8
APOC3                0.5     10.1
CFP                  2.3     19.9
TRAF1                2.8      8.3
LEAP2                1.4     12.9
DUSP3                0.6     23.2
ACSF2               15.7      9.9
PRND                 0.7     23.6
TNFAIP3              4.4      9.7
GNAT1                8.4      9.1
SYNJ2BP              6.0      6.0
SUN5                 0.4      8.8
NMT2                 0.5      5.5
NRIP1                0.8     15.8
LTA4H                1.6     20.0
TTC12                9.1     19.9
LIN28B               4.5      7.1
DHX34                3.4     10.9
CGB5                 0.7     39.3
CCDC160              1.3     24.3
GSPT2                6.6     11.4
ZMYND12              2.1      7.3
KCNH6                2.3     14.3
ALDH7A1              0.8     23.4
ITGA8                2.9     21.2
KCNG3                2.3      8.2
MAJIN                1.4      8.7
GAL                  2.1     10.9
ZNF268               4.3     25.9
TKTL1               31.6     14.8
COL6A6               1.3      7.7
NOP9                29.9     10.0
NEUROG1              1.2     28.3
HNRNPH2              2.0      3.7
NEIL3                2.8      4.4
PLEKHM3              0.7     16.5
AC003002.6           4.2      5.7
USP18                2.8     27.9
RUSC2                2.4     34.7
HOXA3                1.9     10.0
EIF2S3L             10.7      9.0
FGD6                 0.9     10.3
SERPINB4             5.9      4.8
LMOD2                1.0     12.1
FAM172A              2.1     16.2
KRTAP12-3            2.9     14.0
GRIA1                1.3     14.7
LRRC10               0.3     11.7
LCE1D                1.2     16.3
WBP2NL               1.2     30.3
TMEM235             10.6     27.7
POTEE                0.4      9.1
KRT6A                2.1     21.4
SSX4                 1.9      7.2
LENG9                2.7     13.0
GATA4                8.3      7.8
HNF4G                1.2      8.5
SMTN                 1.9     14.9
IGFBP1               3.9     16.4
CNPY4               12.0     12.3
MYO15A               0.3     17.8
PWWP2B               0.9     11.0
RELT                 1.6     10.0
SS18L2               3.4     14.0
BLACE                5.4     15.8
MICALL1              1.8     18.8
NFKBIB              18.6     13.5
CPVL                 3.3     16.3
EVI2A                3.6     17.0
OR2S2                1.7     11.0
CCND2                0.6     13.8
SLC7A6OS             2.5     13.4
ZNRF2                0.7     23.1
RABGGTB              4.6      7.1
ITPRIPL1             4.1     11.1
C3orf70              5.9      3.8
CLINT1               7.9     14.8
ADGRB2               1.7      9.8
ZNF354C              0.8     14.5
IL20RB               1.7     20.2
INPP5J               1.6     14.6
RAD21L1              3.9     32.7
MYL12A               9.2     12.1
TSPAN2               2.8     15.9
SH3RF2               6.1     11.5
SYT13               10.1      9.1
PRAMEF4              3.2     23.7
PHAX                12.3     12.1
CNIH1                4.1     17.8
ALAS1                9.5     29.5
KIF1A                1.0     10.4
GPSM2                4.8      9.1
LENG1                1.3     11.7
NUDT11               2.3     19.7
FCRL1                1.2     10.8
PRTG                 1.6     11.8
C2CD4B               1.2     15.8
CATIP                6.5      5.5
TMEM5                8.7      5.1
GNB1L                1.7     10.8
RAD51AP1            12.5     13.4
HMGN5                4.7     15.4
EPS8L1               1.6     13.8
SEPN1                3.7      9.8
INTS10               2.6      5.8
NKX1-1               3.8     14.6
AHCYL2               6.6     12.8
GDAP2                1.9      2.5
NT5DC3               7.6      8.1
RNF151               2.4      9.1
DTNBP1               3.9      7.4
PEAK1                1.5     12.1
GANC                 4.7      9.3
QSOX1                7.0     10.6
OR6C76               0.3      5.9
ARL16                2.2     12.6
LECT2                5.9      6.7
CHMP3                1.5      4.6
HOXA9                1.2      6.0
LSM11                2.5      9.8
SLC6A5               3.7     13.1
GPR55                0.7     13.0
DACT2                7.1      7.7
PPIAL4G              1.4     10.6
ZNF430               3.6      5.4
AC006386.1           3.1     18.1
MAPK8                0.6      7.1
CDK9                 1.4      8.6
SLC25A4              2.6     10.4
MAGEB18              3.4     10.7
TCL1B                0.7     11.4
GAGE12J              3.2     16.9
DHTKD1               4.4     17.8
ELOVL2               3.2     13.3
WNT6                 2.6     10.5
DYNC1LI2             4.2      7.7
DLK2                 2.4     10.7
JOSD1                3.7     14.7
NR2F6                1.7      6.1
C1orf127             0.4     11.3
STAT1                1.1      6.9
CCDC124              0.8     17.3
NPEPL1               5.1     11.9
METTL17              1.3     12.5
ZIC4                 1.9      6.5
THG1L                2.5     13.7
C1QTNF2              5.9     14.6
GPR137C              8.7     18.0
OR2A1                2.3     10.1
ABCG8                1.9     17.4
KBTBD3               0.6      8.3
FADS1                5.3     24.7
FBN1                 8.2     14.9
CDK5R2               1.5     11.5
TRIM64C              0.8     11.2
TMEM200A             2.9     12.3
ADSS                 9.7     18.8
SATB2                1.3     20.5
RP11-385J1.3         3.3     17.2
CXorf58              2.5     15.1
PMP2                 1.8     11.2
GREB1                2.1     11.3
FAM98A               0.5     27.4
ECM1                 2.2     11.2
MOK                  6.2      7.0
MYZAP                0.4     10.5
LL0XNC01-16G2.1      0.2     15.4
SYT7                 2.8     12.0
